Customer ID,Age,Gender,Marital Status,Occupation,Income Level,Education Level,Geographic Information,Location,Purchase History,Policy Start Date,Policy Renewal Date,Claim History,Coverage Amount,Premium Amount,Deductible,Policy Type,Preferred Communication Channel,Preferred Contact Time,Risk Profile,Credit Score,Driving Record,Life Events
15043,48,Female,Single,Engineer,72654,Associate Degree,Karnataka,75177,1/24/2020,7/23/2019,7/24/2024,0,387399,1713,1413,Group,Email,Morning,0,649,Major Violations,Divorce
88777,50,Male,Divorced,Manager,93448,Master's Degree,Karnataka,56707,1/10/2023,11/10/2021,1/14/2024,2,621476,2416,1383,Group,Email,Evening,2,540,Clean,Divorce
62911,53,Male,Widowed,Doctor,92558,Doctorate,Arunachal Pradesh,60225,12/12/2021,11/7/2023,6/2/2024,2,775683,3765,1165,Group,In-Person Meeting,Afternoon,3,573,DUI,Childbirth
38955,38,Male,Widowed,Salesperson,78536,High School Diploma,Andhra Pradesh,34707,2/1/2023,6/1/2018,2/13/2024,4,580924,3204,1345,Business,Email,Weekends,2,550,DUI,Marriage
3935,42,Male,Married,Salesperson,90220,High School Diploma,Puducherry,14225,2/18/2021,6/4/2023,5/15/2023,1,711361,2941,1111,Group,In-Person Meeting,Morning,3,568,Clean,Childbirth
81731,36,Female,Widowed,Entrepreneur,55331,Associate Degree,Punjab,51757,8/24/2018,6/24/2021,2/28/2024,0,250085,1670,1269,Individual,In-Person Meeting,Afternoon,0,640,Major Violations,Divorce
88306,39,Female,Married,Lawyer,79248,Associate Degree,Delhi,25993,7/13/2022,1/11/2019,11/7/2023,0,433074,2829,1249,Individual,Mail,Evening,1,622,DUI,Childbirth
67132,48,Female,Single,Engineer,97406,Doctorate,Bihar,70487,8/8/2020,10/23/2018,5/18/2023,3,647891,3825,941,Business,Mail,Afternoon,3,594,Major Violations,Marriage
63770,44,Male,Divorced,Salesperson,84743,Bachelor's Degree,Haryana,69451,5/4/2023,1/14/2019,2/5/2024,3,549063,2948,1293,Individual,Phone,Evening,2,662,Clean,Childbirth
81798,44,Female,Separated,Salesperson,99162,High School Diploma,Sikkim,92702,6/10/2019,9/27/2021,6/11/2024,4,563444,3395,1132,Individual,Text,Morning,3,615,Clean,Childbirth
87317,40,Female,Separated,Manager,102171,High School Diploma,Daman and Diu,45743,9/27/2018,11/7/2021,11/17/2024,3,626594,3303,1292,Business,Mail,Afternoon,3,603,Major Violations,Job Change
63024,35,Female,Widowed,Manager,96411,Bachelor's Degree,West Bengal,55507,5/10/2022,9/19/2019,1/14/2023,1,415299,1784,1005,Group,Mail,Evening,1,626,Clean,Childbirth
90003,33,Female,Single,Engineer,85208,Associate Degree,Chandigarh,75031,4/26/2022,6/23/2020,4/18/2024,1,359536,1241,1236,Business,In-Person Meeting,Anytime,0,685,Clean,Childbirth
9503,42,Male,Separated,Lawyer,57011,Master's Degree,Rajasthan,44602,2/26/2018,2/22/2022,3/2/2024,0,348007,1611,1611,Group,Mail,Evening,0,687,DUI,Marriage
34907,43,Male,Widowed,Manager,85990,Master's Degree,Andaman and Nicobar Islands,75558,9/13/2021,2/8/2022,8/11/2024,5,594780,2909,1054,Group,Mail,Weekends,2,593,Clean,Marriage
75932,45,Male,Married,Artist,94070,High School Diploma,Puducherry,96385,3/25/2020,2/10/2020,9/6/2023,2,580749,3122,1003,Family,Phone,Anytime,1,633,Major Violations,Childbirth
11032,34,Male,Married,Manager,92905,High School Diploma,Uttarakhand,17196,3/8/2019,7/18/2021,12/22/2024,4,490208,2038,1511,Group,Phone,Weekends,2,680,Clean,Retirement
13515,55,Male,Married,Doctor,75934,Associate Degree,Telangana,67407,11/11/2023,6/2/2020,6/5/2024,0,426271,2305,1255,Business,Mail,Morning,2,542,Clean,Marriage
67826,38,Male,Married,Manager,105112,Associate Degree,Odisha,48399,7/21/2023,7/20/2023,9/10/2024,3,706530,3381,1072,Business,Phone,Morning,2,532,DUI,Divorce
90081,53,Female,Single,Salesperson,87223,Doctorate,Nagaland,52330,11/11/2020,4/11/2022,1/14/2024,3,546718,3507,892,Business,Mail,Morning,2,541,Minor Violations,Marriage
96513,49,Female,Divorced,Salesperson,100952,Associate Degree,Mizoram,14036,10/2/2018,7/28/2022,11/19/2024,4,250997,2544,1296,Group,Mail,Evening,0,580,Major Violations,Divorce
90736,29,Female,Single,Lawyer,95577,Associate Degree,Manipur,84014,11/18/2021,1/26/2022,4/24/2023,2,385878,1347,1163,Group,Mail,Morning,1,647,Clean,Retirement
66549,51,Female,Divorced,Teacher,97274,Master's Degree,Uttarakhand,37051,4/13/2020,3/8/2018,5/16/2023,4,652692,2833,1162,Business,Text,Afternoon,2,564,Clean,Job Change
13774,43,Female,Widowed,Teacher,93042,Master's Degree,West Bengal,29188,3/15/2022,8/13/2020,10/25/2024,0,678394,1841,1276,Group,Phone,Morning,2,632,Clean,Job Change
59382,48,Male,Divorced,Manager,62722,Doctorate,Maharashtra,62423,10/19/2022,2/21/2020,3/9/2024,2,510770,2424,1390,Group,Email,Anytime,1,604,Minor Violations,Job Change
24027,50,Male,Widowed,Salesperson,71014,High School Diploma,West Bengal,20722,5/24/2021,9/11/2019,8/1/2023,3,537657,2849,1040,Group,In-Person Meeting,Evening,3,589,Clean,Marriage
92348,49,Female,Separated,Lawyer,92638,Bachelor's Degree,Nagaland,16529,2/12/2020,11/3/2020,5/8/2024,3,670639,2846,1153,Group,Phone,Weekends,3,513,Clean,Divorce
60625,55,Female,Separated,Teacher,103326,Doctorate,Andaman and Nicobar Islands,84764,2/18/2020,4/15/2021,4/2/2024,4,596574,3658,1082,Family,Email,Morning,3,505,DUI,Job Change
34438,40,Female,Single,Teacher,70252,Doctorate,Lakshadweep,34649,2/22/2022,12/28/2022,7/13/2023,4,555584,2507,1526,Business,Text,Evening,0,664,Major Violations,Childbirth
55443,55,Male,Married,Nurse,103214,Associate Degree,Chandigarh,41492,10/14/2022,4/17/2020,12/26/2024,1,543002,2371,1357,Business,In-Person Meeting,Morning,2,564,Clean,Divorce
56617,47,Male,Divorced,Entrepreneur,84228,Associate Degree,Rajasthan,56208,6/5/2019,8/1/2023,1/2/2024,1,425389,2008,1440,Group,Email,Anytime,0,559,Minor Violations,Job Change
5278,48,Male,Separated,Teacher,72877,Master's Degree,Chhattisgarh,35665,5/14/2019,11/4/2023,7/19/2024,1,513693,2203,1200,Business,Mail,Afternoon,1,650,Minor Violations,Retirement
29473,44,Female,Single,Artist,84920,High School Diploma,Delhi,66446,6/6/2022,8/7/2022,9/23/2023,5,690989,2816,1240,Group,Phone,Afternoon,3,606,Clean,Divorce
13049,47,Female,Divorced,Doctor,94235,Associate Degree,Goa,13301,4/12/2019,3/5/2021,2/1/2024,4,619583,3002,1138,Business,Mail,Weekends,3,521,Clean,Job Change
94483,43,Female,Married,Entrepreneur,100707,Doctorate,Meghalaya,96336,2/18/2021,10/1/2019,6/6/2024,4,610080,3859,959,Group,Phone,Morning,2,533,Major Violations,Childbirth
87909,44,Male,Married,Teacher,76125,Doctorate,Punjab,86214,1/1/2021,8/10/2023,7/3/2024,2,435107,2421,1272,Family,In-Person Meeting,Weekends,0,699,Major Violations,Marriage
12695,51,Male,Widowed,Lawyer,97893,High School Diploma,Jharkhand,11700,7/5/2020,1/25/2022,8/11/2024,2,710545,3872,1240,Individual,In-Person Meeting,Morning,3,673,Minor Violations,Childbirth
1427,46,Female,Separated,Salesperson,99694,Doctorate,Chandigarh,15171,4/9/2023,2/19/2021,11/6/2024,2,538852,2160,1186,Business,In-Person Meeting,Weekends,2,676,Clean,Divorce
97498,45,Female,Divorced,Doctor,73893,Master's Degree,Odisha,76371,11/7/2022,8/26/2019,9/28/2024,2,510959,2495,1083,Family,Mail,Afternoon,0,544,Major Violations,Divorce
85986,50,Male,Separated,Entrepreneur,95786,Bachelor's Degree,Arunachal Pradesh,35012,8/2/2020,5/2/2022,8/20/2024,2,685018,3033,1282,Group,In-Person Meeting,Anytime,2,611,DUI,Divorce
95699,51,Female,Single,Doctor,104388,Master's Degree,Rajasthan,87896,11/17/2023,5/10/2019,10/20/2024,3,300889,3295,1311,Individual,Mail,Weekends,2,539,Accident,Divorce
92141,47,Male,Married,Artist,81581,Associate Degree,Andhra Pradesh,45892,1/23/2019,2/22/2023,4/2/2024,5,708049,3513,1131,Group,Email,Weekends,2,599,Minor Violations,Divorce
24660,34,Male,Separated,Artist,77568,Doctorate,Nagaland,23452,8/21/2020,1/24/2019,4/23/2024,1,402147,2312,1334,Group,Phone,Evening,1,600,Major Violations,Marriage
70468,53,Female,Married,Manager,74716,Doctorate,Delhi,40933,11/1/2019,9/7/2022,11/20/2024,3,508455,3624,1192,Business,In-Person Meeting,Weekends,2,510,Major Violations,Marriage
82349,37,Female,Separated,Engineer,79074,Doctorate,Bihar,94350,2/14/2021,10/11/2021,2/3/2024,3,358967,2110,1587,Family,In-Person Meeting,Weekends,0,622,DUI,Marriage
19477,53,Female,Divorced,Engineer,85968,Doctorate,Delhi,84246,12/13/2019,10/15/2020,11/9/2023,5,680074,3394,1160,Group,Mail,Afternoon,1,617,Accident,Job Change
2921,47,Male,Married,Artist,107651,Associate Degree,Mizoram,35371,9/6/2023,12/15/2020,3/24/2024,3,591071,3974,1230,Individual,Phone,Evening,2,515,Minor Violations,Childbirth
24869,40,Male,Separated,Salesperson,68737,Doctorate,Odisha,71844,8/26/2019,4/26/2018,8/13/2023,1,519147,1524,1548,Business,Phone,Morning,0,535,Clean,Marriage
74913,42,Female,Divorced,Lawyer,91476,Associate Degree,Goa,73192,5/9/2022,12/23/2022,4/2/2023,5,516754,2842,1183,Group,Mail,Weekends,3,606,Clean,Job Change
13552,43,Female,Married,Artist,65555,Associate Degree,Nagaland,31113,1/15/2018,11/13/2020,8/6/2024,5,387789,2767,1390,Individual,In-Person Meeting,Evening,0,556,Minor Violations,Job Change
57589,50,Female,Single,Salesperson,85462,Associate Degree,Uttarakhand,59962,5/28/2019,2/15/2019,9/10/2024,4,673984,2627,1060,Family,In-Person Meeting,Anytime,1,555,Clean,Marriage
89346,37,Male,Widowed,Nurse,88972,Doctorate,Jharkhand,72907,3/1/2022,12/14/2023,1/24/2023,1,543832,2597,912,Business,In-Person Meeting,Anytime,0,516,Major Violations,Childbirth
72326,47,Male,Widowed,Teacher,99875,Master's Degree,Lakshadweep,15177,12/26/2022,8/20/2023,8/16/2024,4,579319,3275,1392,Business,Text,Evening,1,516,Major Violations,Childbirth
9609,47,Female,Divorced,Teacher,89718,Doctorate,Delhi,85455,9/10/2023,3/7/2021,2/20/2023,0,519574,2675,1137,Family,Mail,Morning,2,547,DUI,Job Change
33013,44,Male,Divorced,Lawyer,118596,High School Diploma,Bihar,67387,12/24/2019,1/28/2020,4/18/2024,2,634284,3661,957,Family,In-Person Meeting,Afternoon,2,536,Major Violations,Marriage
68401,49,Male,Widowed,Teacher,64961,Associate Degree,Mizoram,47406,8/2/2018,6/1/2018,2/10/2023,4,388969,2626,1202,Individual,Text,Evening,0,654,DUI,Divorce
75442,39,Female,Single,Teacher,96297,Associate Degree,Arunachal Pradesh,54341,5/1/2018,8/15/2023,7/12/2024,1,548859,2317,1101,Group,In-Person Meeting,Anytime,2,516,Clean,Marriage
96365,47,Female,Married,Salesperson,89825,High School Diploma,Tamil Nadu,72421,11/21/2020,2/6/2021,10/17/2023,5,669340,3748,1173,Family,Email,Weekends,3,561,DUI,Retirement
64304,49,Male,Widowed,Salesperson,82865,Associate Degree,Madhya Pradesh,86218,4/26/2020,1/19/2022,5/27/2024,3,671638,3443,1115,Business,Mail,Afternoon,3,579,DUI,Divorce
25444,47,Female,Widowed,Teacher,85485,Master's Degree,Assam,36116,6/25/2023,11/16/2023,10/10/2024,0,296810,1101,1289,Group,Phone,Evening,0,488,Clean,Job Change
31924,48,Female,Single,Salesperson,96882,Master's Degree,Gujarat,27961,12/10/2018,9/4/2023,6/6/2023,1,525341,2342,1433,Family,Phone,Morning,3,651,Clean,Marriage
75948,49,Female,Separated,Manager,100415,Doctorate,Tamil Nadu,18495,2/18/2021,6/2/2020,1/4/2023,5,657379,3447,1097,Group,In-Person Meeting,Weekends,2,623,DUI,Job Change
69349,52,Male,Separated,Lawyer,92670,Doctorate,Bihar,62204,1/15/2022,10/28/2018,3/14/2024,4,566682,4057,984,Group,In-Person Meeting,Afternoon,3,530,Major Violations,Childbirth
34345,46,Female,Married,Engineer,82717,High School Diploma,Uttarakhand,89370,12/27/2023,9/26/2018,11/16/2023,0,492527,2912,1240,Family,Phone,Anytime,2,686,Accident,Childbirth
89150,45,Male,Widowed,Lawyer,90148,Master's Degree,Bihar,84646,11/27/2023,1/25/2018,9/10/2024,1,520252,2761,1035,Group,Text,Afternoon,1,580,DUI,Marriage
20473,56,Male,Separated,Manager,91737,Associate Degree,Arunachal Pradesh,54600,7/17/2020,2/22/2021,2/20/2023,5,539338,3820,1046,Family,In-Person Meeting,Weekends,2,561,Major Violations,Marriage
18995,47,Male,Married,Teacher,109548,High School Diploma,Telangana,38678,1/6/2022,8/14/2018,2/21/2023,1,539922,3259,1416,Group,Email,Weekends,3,554,Major Violations,Divorce
25084,54,Male,Divorced,Doctor,111667,High School Diploma,Puducherry,20016,3/23/2021,9/2/2019,7/19/2023,5,701850,4595,1141,Family,Phone,Evening,3,510,Accident,Childbirth
2187,46,Male,Divorced,Salesperson,119240,Associate Degree,Rajasthan,73452,9/19/2019,12/20/2022,8/23/2023,5,579324,3909,1125,Family,Phone,Afternoon,2,598,DUI,Marriage
9030,41,Male,Married,Entrepreneur,96546,Associate Degree,Manipur,30314,6/3/2022,6/13/2019,12/10/2023,1,511093,2428,820,Group,In-Person Meeting,Morning,3,610,Clean,Job Change
71286,35,Male,Separated,Teacher,90513,Doctorate,Himachal Pradesh,40894,8/21/2023,8/25/2018,9/10/2023,2,485806,2650,1377,Family,Mail,Anytime,3,651,Major Violations,Retirement
67176,47,Female,Married,Salesperson,91948,Doctorate,Assam,21060,7/10/2018,8/4/2018,2/4/2023,2,460459,2472,1139,Group,Text,Morning,3,660,Clean,Divorce
50602,49,Male,Single,Manager,75450,Doctorate,Kerala,40861,12/9/2020,7/27/2023,8/4/2023,3,517536,3077,794,Group,Phone,Weekends,1,590,Minor Violations,Childbirth
2574,42,Female,Divorced,Salesperson,72047,Doctorate,Sikkim,90347,1/26/2022,11/26/2019,1/2/2023,0,273210,3325,1271,Individual,Text,Weekends,3,546,Major Violations,Childbirth
16727,41,Male,Married,Salesperson,68317,Bachelor's Degree,Delhi,42284,3/25/2020,12/15/2020,7/10/2024,1,463554,1492,1294,Group,In-Person Meeting,Weekends,1,711,Clean,Divorce
28962,51,Female,Married,Entrepreneur,100305,Associate Degree,Jharkhand,38698,3/12/2018,10/1/2018,1/5/2023,5,584556,3823,1181,Group,In-Person Meeting,Anytime,3,564,Major Violations,Job Change
56959,51,Female,Married,Entrepreneur,84027,Bachelor's Degree,Himachal Pradesh,50075,5/16/2019,8/7/2020,6/18/2023,3,505443,3178,1342,Business,Text,Morning,1,544,DUI,Childbirth
24630,45,Male,Divorced,Entrepreneur,85425,High School Diploma,Tripura,32188,4/16/2022,9/7/2023,3/14/2024,1,490831,2108,1358,Individual,Text,Evening,0,611,Clean,Marriage
54514,39,Male,Married,Doctor,83932,Master's Degree,Chhattisgarh,40410,6/3/2022,3/25/2019,2/19/2023,0,453235,1396,1196,Group,Text,Anytime,1,662,Clean,Retirement
65257,36,Male,Single,Entrepreneur,75616,Master's Degree,Chandigarh,66216,2/24/2018,11/15/2021,12/17/2024,0,332536,1540,1455,Group,Phone,Anytime,0,618,Accident,Divorce
4355,52,Female,Divorced,Doctor,118494,Bachelor's Degree,Andhra Pradesh,17049,5/23/2018,4/21/2023,2/6/2023,1,660386,3613,1171,Group,Text,Weekends,3,518,Accident,Job Change
61660,51,Female,Married,Artist,79008,Master's Degree,Manipur,10918,7/13/2022,8/27/2018,10/28/2024,4,631708,3459,1050,Business,Phone,Afternoon,2,634,Accident,Retirement
91801,48,Male,Divorced,Artist,95518,Bachelor's Degree,Kerala,83016,7/1/2023,1/16/2020,1/25/2023,0,573314,2890,954,Individual,Text,Weekends,2,577,Clean,Marriage
48857,47,Male,Single,Entrepreneur,102168,Associate Degree,Haryana,12251,10/17/2020,1/13/2022,8/7/2024,4,540803,2840,1286,Group,Phone,Anytime,1,580,Major Violations,Job Change
72775,47,Female,Married,Salesperson,108292,Associate Degree,Puducherry,17730,1/2/2018,6/14/2023,3/7/2024,3,666004,2399,1283,Business,Phone,Afternoon,0,604,Clean,Marriage
12183,50,Male,Single,Lawyer,68627,Associate Degree,Mizoram,24207,7/12/2021,6/1/2018,4/14/2024,0,382138,2502,1066,Individual,Email,Evening,0,620,Major Violations,Marriage
11298,42,Female,Widowed,Entrepreneur,80954,High School Diploma,Dadra and Nagar Haveli,64930,5/14/2022,7/21/2021,12/9/2024,3,344670,2123,1335,Group,Text,Afternoon,1,666,Minor Violations,Retirement
22410,52,Male,Widowed,Lawyer,106809,Associate Degree,Himachal Pradesh,72365,8/25/2019,6/26/2020,1/13/2024,1,460471,2519,1478,Business,Email,Weekends,1,547,Major Violations,Divorce
82412,42,Male,Married,Lawyer,74551,Associate Degree,Andaman and Nicobar Islands,18520,12/11/2023,9/6/2018,8/2/2023,1,331180,2157,1148,Family,Email,Anytime,1,668,DUI,Divorce
3541,46,Female,Separated,Salesperson,84159,High School Diploma,Bihar,76885,10/27/2022,7/6/2021,11/9/2023,2,414022,2019,1311,Business,In-Person Meeting,Weekends,2,492,Clean,Retirement
33977,41,Male,Divorced,Teacher,89512,Associate Degree,Uttar Pradesh,64067,4/24/2021,9/16/2020,9/19/2023,2,496486,2475,1575,Group,In-Person Meeting,Morning,1,507,DUI,Job Change
34181,39,Female,Divorced,Entrepreneur,83685,Doctorate,Madhya Pradesh,29938,8/4/2023,8/19/2019,5/22/2024,0,533743,2458,1377,Business,Phone,Morning,2,564,Minor Violations,Job Change
72275,49,Male,Separated,Lawyer,103304,Bachelor's Degree,Lakshadweep,78222,7/18/2019,5/8/2019,5/25/2023,5,656200,4137,1041,Group,Mail,Evening,3,633,Major Violations,Childbirth
33714,42,Male,Married,Salesperson,65429,Doctorate,Chandigarh,82311,7/10/2021,1/21/2021,7/21/2024,4,586160,2583,1253,Individual,Phone,Morning,1,487,Clean,Divorce
74557,39,Female,Widowed,Doctor,97258,Doctorate,Himachal Pradesh,18065,10/10/2018,11/9/2022,4/13/2024,3,583802,3786,1330,Individual,Phone,Afternoon,3,551,Minor Violations,Marriage
30019,48,Male,Married,Engineer,76316,Bachelor's Degree,Kerala,72984,12/13/2018,11/5/2021,10/14/2024,2,656602,2934,990,Group,Mail,Weekends,1,617,Accident,Job Change
25849,43,Female,Separated,Nurse,81206,Bachelor's Degree,West Bengal,47716,8/7/2022,9/22/2022,7/1/2023,2,550050,2640,1073,Business,Mail,Afternoon,0,597,Major Violations,Marriage
72584,41,Female,Married,Engineer,87296,High School Diploma,Madhya Pradesh,88567,8/5/2021,4/9/2018,12/24/2023,0,253881,2613,1556,Business,Mail,Weekends,2,620,Accident,Childbirth
76632,42,Male,Widowed,Teacher,96676,Doctorate,Andaman and Nicobar Islands,12169,7/28/2022,12/8/2021,6/12/2023,3,757689,3172,1123,Business,Phone,Afternoon,2,511,Minor Violations,Job Change
